people_ID,infect_prob
5942,52.630238
18664,52.052777
5603,54.908186
5649,56.465618
5099,52.555723
18749,55.680662
5228,49.525799
5559,52.058826
5220,56.697604
5476,51.350717
5260,48.235327
17638,49.432542
18635,55.240803
18794,59.51417
5263,49.612549
17680,58.439693
18030,54.004497
18090,51.616496
18455,48.282525
18155,52.600576
18116,58.11726
18144,53.271576
5218,58.985804
5386,55.039915
18105,56.998755
5735,49.402435
5900,49.059507
18391,56.636525
5786,55.782714
18639,51.857129
17984,55.305345
18274,50.430969
5425,51.666972
6076,57.949978
18545,55.240297
17697,58.994519
6137,51.642127
6083,52.573712
17730,50.91978
5896,58.621455
18906,51.215142
17808,55.072787
6078,57.218385
5516,49.094961
18093,51.077211
6120,50.561631
18154,54.232299
17935,56.112464
18769,59.705482
18264,56.568135
18076,49.785493
18035,55.255353
18051,50.74233
18676,52.569384
5332,56.232873
5898,59.959786
18370,49.53957
17706,50.731743
5198,50.716719
18360,53.872536
18240,56.022248
18691,50.335634
5768,48.778561
18315,51.943029
18776,54.246252
6225,53.701428
17983,57.888215
17973,57.19299
5805,60.049481
5500,55.191201
5305,54.420522
18243,52.845475
5169,57.553881
5258,55.179666
17810,60.215544
5714,56.082168
6070,57.803282
5959,57.657999
18771,54.795731
17765,55.994038
18822,51.108933
17735,60.279117
17966,49.391773
18861,54.287411
18236,55.931821
18750,61.278657
17809,57.936737
6049,50.767709
18465,53.643584
6201,53.731383
18877,56.135433
5087,52.545898
17742,47.945622
17941,58.248997
18421,52.678057
18489,50.082212
6299,59.443004
18428,54.912254
5563,58.477122
18796,57.77922
5849,57.060871
5661,55.53463
5893,49.931184
5378,59.520863
5622,53.762007
5823,50.258119
18521,50.009757
5502,51.67528
18785,51.416076
17783,55.663723
18424,59.459988
18147,54.45093
18881,58.780217
18851,48.816066
17686,55.888478
5100,53.863131
5213,55.531019
18252,51.960067
5576,50.349564
18050,54.168889
5875,54.911534
6059,48.844459
18599,50.464259
5173,50.445053
5461,52.741072
5151,59.165044
5266,50.481591
5514,59.075213
5224,55.068734
18069,48.737334
5587,50.544632
17874,53.541191
5536,57.347912
5215,56.609564
5400,58.655359
17857,51.103131
6043,58.002139
18330,54.666585
18333,53.804629
17788,53.906976
18332,58.260855
17836,49.635611
5247,52.676323
5922,52.003856
18641,58.446112
5951,59.52009
18807,49.061244
18293,58.871143
18775,58.023958
5601,50.448714
5102,50.143905
18464,49.74564
17713,51.175814
18557,50.851763
18854,48.628126
18401,50.803873
18699,59.47735
5706,59.423367
5747,55.848919
5496,53.291268
18308,52.649362
5345,57.260314
18525,50.145058
18258,57.758037
6062,53.866614
17921,55.270798
5303,48.656984
18592,52.478812
5814,50.067467
18805,49.751552
5910,57.090731
5201,54.769016
5724,59.203486
17693,48.161521
5407,53.636393
18617,53.900753
18173,54.804695
18875,48.597628
5225,49.119652
5858,49.206392
5091,54.061525
